image,ground_truth,kind,student_row,assessment,digit_position,sheet_template,source_scan
output/debug/broadsheet-ocr/digit-dataset/images/row-008-ca2-digit-2.jpg,5,digit,8,ca2,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-008-exam-digit-1.jpg,6,digit,8,exam,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-008-exam-digit-2.jpg,2,digit,8,exam,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-009-ca1-digit-1.jpg,0,digit,9,ca1,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-009-ca1-digit-2.jpg,6,digit,9,ca1,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-009-ca2-digit-1.jpg,0,digit,9,ca2,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-009-ca2-digit-2.jpg,7,digit,9,ca2,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-009-exam-digit-1.jpg,6,digit,9,exam,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-009-exam-digit-2.jpg,7,digit,9,exam,1,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-010-ca1-blank-digit-1.jpg,,blank,10,ca1,0,SMB-TEST-0001,synthetic-labelled-fixture
output/debug/broadsheet-ocr/digit-dataset/images/row-010-ca1-blank-digit-2.jpg,,blank,10,ca1,1,SMB-TEST-0001,synthetic-labelled-fixture
